Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,131500.000000,133500.000000,130000.000000,131500.000000,112185.375000,613289
2019-07-26,130500.000000,132500.000000,130000.000000,130500.000000,111332.257813,394087
2019-07-29,130000.000000,131000.000000,126500.000000,128000.000000,109199.453125,464288
2019-07-30,129000.000000,129500.000000,126500.000000,128000.000000,109199.453125,321935
2019-07-31,126500.000000,129000.000000,126500.000000,126500.000000,107919.773438,488189
2019-08-01,126500.000000,130000.000000,125000.000000,125500.000000,107066.656250,468797
2019-08-02,126000.000000,128500.000000,124500.000000,127500.000000,108772.882813,605798
2019-08-05,127500.000000,128000.000000,125500.000000,127500.000000,108772.882813,748862
2019-08-06,126000.000000,127500.000000,123000.000000,126000.000000,107493.210938,762619
2019-08-07,126500.000000,129000.000000,126500.000000,127000.000000,108346.320313,752576
2019-08-08,129000.000000,132500.000000,128500.000000,130000.000000,110905.703125,1303906
2019-08-09,131500.000000,132500.000000,129000.000000,132500.000000,113038.492188,521574
2019-08-12,131000.000000,132500.000000,130000.000000,131000.000000,111758.820313,350563
2019-08-13,129500.000000,131000.000000,129000.000000,129000.000000,110052.578125,334053
2019-08-14,130000.000000,131500.000000,127000.000000,127500.000000,108772.882813,614128
2019-08-16,126500.000000,128000.000000,125000.000000,128000.000000,109199.453125,352114
2019-08-19,127500.000000,129500.000000,127500.000000,128000.000000,109199.453125,242024
2019-08-20,127500.000000,128500.000000,125000.000000,126500.000000,107919.773438,481643
2019-08-21,126500.000000,127500.000000,124000.000000,125500.000000,107066.656250,530685
2019-08-22,126000.000000,126500.000000,124000.000000,124000.000000,105786.976563,480559
2019-08-23,123000.000000,126000.000000,123000.000000,126000.000000,107493.210938,256322
2019-08-26,124000.000000,126000.000000,123500.000000,124500.000000,106213.539063,391828
2019-08-27,125000.000000,126500.000000,124000.000000,125000.000000,106640.093750,1043657
2019-08-28,128500.000000,130500.000000,127000.000000,127500.000000,108772.882813,766622
2019-08-29,127500.000000,128000.000000,126000.000000,126500.000000,107919.773438,393472
2019-08-30,127500.000000,129000.000000,127000.000000,128500.000000,109626.007813,433515
2019-09-02,128000.000000,132000.000000,127500.000000,131000.000000,111758.820313,385326
2019-09-03,131500.000000,132000.000000,127500.000000,128500.000000,109626.007813,505454
2019-09-04,128000.000000,129000.000000,127000.000000,128500.000000,109626.007813,496326
2019-09-05,128000.000000,129000.000000,127000.000000,128000.000000,109199.453125,478990
2019-09-06,128000.000000,128500.000000,126500.000000,127500.000000,108772.882813,380856
2019-09-09,127500.000000,128500.000000,126000.000000,127000.000000,108346.320313,378542
2019-09-10,127000.000000,128500.000000,126500.000000,128000.000000,109199.453125,458487
2019-09-11,128500.000000,129000.000000,127500.000000,129000.000000,110052.578125,756459
2019-09-16,128500.000000,129500.000000,126000.000000,128000.000000,109199.453125,777956
2019-09-17,127500.000000,128000.000000,125500.000000,126000.000000,107493.210938,610086
2019-09-18,126000.000000,128500.000000,125500.000000,127500.000000,108772.882813,537604
2019-09-19,127500.000000,129000.000000,126500.000000,129000.000000,110052.578125,618746
2019-09-20,128500.000000,130500.000000,128000.000000,129500.000000,110479.140625,718752
2019-09-23,129500.000000,133500.000000,129000.000000,133000.000000,113465.062500,1007214
2019-09-24,134000.000000,135000.000000,132000.000000,134000.000000,114318.179688,615506
2019-09-25,133000.000000,135000.000000,131500.000000,134500.000000,114744.742188,448004
2019-09-26,136000.000000,136500.000000,132000.000000,133000.000000,113465.062500,453068
2019-09-27,134000.000000,134000.000000,131000.000000,133500.000000,113891.625000,348902
2019-09-30,133500.000000,135500.000000,133000.000000,134000.000000,114318.179688,429631
2019-10-01,134000.000000,134000.000000,131500.000000,132500.000000,113038.492188,388512
2019-10-02,131000.000000,131500.000000,128000.000000,128500.000000,109626.007813,448012
2019-10-04,129500.000000,130000.000000,126500.000000,126500.000000,107919.773438,488988
2019-10-07,128000.000000,129000.000000,127000.000000,128000.000000,109199.453125,258951
2019-10-08,128000.000000,130500.000000,127500.000000,129500.000000,110479.140625,391115
2019-10-10,127000.000000,128000.000000,125500.000000,126500.000000,107919.773438,771396
2019-10-11,127000.000000,127500.000000,126000.000000,126000.000000,107493.210938,369552
2019-10-14,125000.000000,126000.000000,122000.000000,122000.000000,104080.726563,1260866
2019-10-15,122000.000000,123000.000000,120500.000000,122000.000000,104080.726563,661262
2019-10-16,123000.000000,124000.000000,122000.000000,123000.000000,104933.843750,433874
2019-10-17,123000.000000,124500.000000,122000.000000,123000.000000,104933.843750,519468
2019-10-18,123500.000000,124500.000000,122500.000000,123000.000000,104933.843750,418395
2019-10-21,124000.000000,124000.000000,122000.000000,122000.000000,104080.726563,372561
2019-10-22,121500.000000,122500.000000,120000.000000,122000.000000,104080.726563,523445
2019-10-23,121500.000000,122500.000000,120500.000000,121000.000000,103227.609375,511570
2019-10-24,121000.000000,122500.000000,120000.000000,122000.000000,104080.726563,655232
2019-10-25,122000.000000,124000.000000,121500.000000,123500.000000,105360.398438,983777
2019-10-28,124500.000000,125000.000000,121500.000000,121500.000000,103654.156250,564300
2019-10-29,122000.000000,123000.000000,121500.000000,122500.000000,104507.296875,797389
2019-10-30,122500.000000,123000.000000,121500.000000,122500.000000,104507.296875,400285
2019-10-31,122500.000000,123500.000000,121500.000000,122000.000000,104080.726563,441488
2019-11-01,121500.000000,124000.000000,121000.000000,124000.000000,105786.976563,470554
2019-11-04,123500.000000,125000.000000,123000.000000,124000.000000,105786.976563,475831
2019-11-05,124000.000000,125500.000000,124000.000000,125000.000000,106640.093750,471601
2019-11-06,125500.000000,126000.000000,123500.000000,123500.000000,105360.398438,682414
2019-11-07,123500.000000,124500.000000,123000.000000,123500.000000,105360.398438,853783
