Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,45400.000000,45650.000000,44150.000000,44750.000000,39312.886719,13299267
2019-04-25,44250.000000,45000.000000,44100.000000,44650.000000,39225.039063,10868965
2019-04-26,44200.000000,45000.000000,43800.000000,44850.000000,39400.734375,9739982
2019-04-29,45150.000000,46150.000000,45100.000000,46150.000000,40542.785156,8777517
2019-04-30,46000.000000,46300.000000,45350.000000,45850.000000,40279.230469,11121273
2019-05-02,45500.000000,46150.000000,45400.000000,45900.000000,40323.164063,8625126
2019-05-03,45900.000000,46050.000000,45300.000000,45300.000000,39796.058594,6562916
2019-05-07,45250.000000,45300.000000,44400.000000,44850.000000,39400.734375,12014907
2019-05-08,44300.000000,44850.000000,44200.000000,44250.000000,38873.636719,10398754
2019-05-09,43900.000000,44250.000000,42450.000000,42450.000000,37292.335938,23029718
2019-05-10,42600.000000,43450.000000,42450.000000,42900.000000,37687.664063,14579512
2019-05-13,42500.000000,43200.000000,42350.000000,42650.000000,37468.031250,7635079
2019-05-14,41300.000000,43100.000000,41300.000000,42650.000000,37468.031250,11563730
2019-05-15,42700.000000,43050.000000,42550.000000,42550.000000,37380.179688,7670185
2019-05-16,42350.000000,42400.000000,41350.000000,41550.000000,36501.679688,13687828
2019-05-17,41950.000000,42050.000000,40850.000000,41200.000000,36194.203125,13357951
2019-05-20,41650.000000,42100.000000,41550.000000,42000.000000,36897.003906,15752397
2019-05-21,42600.000000,43950.000000,42350.000000,43150.000000,37907.281250,18812133
2019-05-22,43700.000000,43800.000000,42400.000000,43500.000000,38214.757813,11033339
2019-05-23,43900.000000,44000.000000,43250.000000,43850.000000,38522.234375,12259006
2019-05-24,43800.000000,43800.000000,42400.000000,42700.000000,37511.953125,13966305
2019-05-27,42500.000000,43000.000000,42350.000000,42650.000000,37468.031250,8066669
2019-05-28,42550.000000,42950.000000,42150.000000,42550.000000,37380.179688,24506881
2019-05-29,41850.000000,42100.000000,41300.000000,41800.000000,36721.300781,14930618
2019-05-30,42200.000000,42700.000000,42150.000000,42550.000000,37380.179688,11766018
2019-05-31,42600.000000,42800.000000,42150.000000,42500.000000,37336.253906,11365999
2019-06-03,42950.000000,43900.000000,42500.000000,43800.000000,38478.312500,15466580
2019-06-04,43400.000000,43700.000000,43000.000000,43450.000000,38170.832031,9913497
2019-06-05,44050.000000,44200.000000,43700.000000,43900.000000,38566.156250,12464135
2019-06-07,43600.000000,44350.000000,43450.000000,44200.000000,38829.710938,11683682
2019-06-10,44300.000000,44850.000000,44050.000000,44800.000000,39356.804688,8792182
2019-06-11,44800.000000,45000.000000,44550.000000,44850.000000,39400.734375,6664872
2019-06-12,44800.000000,45050.000000,44300.000000,44600.000000,39181.113281,8607439
2019-06-13,44200.000000,44400.000000,43400.000000,43750.000000,38434.378906,16906541
2019-06-14,43750.000000,44150.000000,43300.000000,44000.000000,38654.000000,9322873
2019-06-17,43750.000000,44050.000000,43400.000000,43900.000000,38566.156250,11890424
2019-06-18,43750.000000,44500.000000,43650.000000,44350.000000,38961.480469,7994928
2019-06-19,45450.000000,45450.000000,45000.000000,45350.000000,39839.984375,10417690
2019-06-20,44850.000000,45500.000000,44850.000000,45500.000000,39971.753906,7147785
2019-06-21,45750.000000,45800.000000,45200.000000,45700.000000,40147.468750,9454913
2019-06-24,45200.000000,45800.000000,45200.000000,45500.000000,39971.753906,6085066
2019-06-25,45200.000000,45800.000000,45200.000000,45600.000000,40059.613281,7076774
2019-06-26,45800.000000,46000.000000,45600.000000,45700.000000,40147.468750,9226097
2019-06-27,46000.000000,46600.000000,45750.000000,46500.000000,41169.160156,12603534
2019-06-28,47000.000000,47000.000000,46700.000000,47000.000000,41611.839844,12949231
2019-07-01,47350.000000,47400.000000,46250.000000,46600.000000,41257.699219,11383522
2019-07-02,46200.000000,46900.000000,45850.000000,46250.000000,40947.828125,8463073
2019-07-03,45750.000000,46350.000000,45200.000000,45400.000000,40195.261719,9669368
2019-07-04,45250.000000,46200.000000,45250.000000,46000.000000,40726.472656,6365573
2019-07-05,45950.000000,45950.000000,45250.000000,45650.000000,40416.605469,7235395
2019-07-08,44750.000000,44800.000000,44350.000000,44400.000000,39309.906250,7823843
2019-07-09,44850.000000,45450.000000,44700.000000,45100.000000,39929.660156,7646421
2019-07-10,45550.000000,46150.000000,45500.000000,45550.000000,40328.074219,9253930
2019-07-11,46350.000000,46550.000000,46150.000000,46200.000000,40903.554688,10989751
2019-07-12,46350.000000,46400.000000,45800.000000,46300.000000,40992.089844,5245804
2019-07-15,45950.000000,46650.000000,45750.000000,46450.000000,41124.890625,4717226
2019-07-16,46450.000000,46850.000000,46300.000000,46850.000000,41479.039063,7407824
2019-07-17,46150.000000,46350.000000,45950.000000,46050.000000,40770.753906,5216602
2019-07-18,46450.000000,46450.000000,45650.000000,46100.000000,40815.011719,5143554
2019-07-19,46650.000000,46950.000000,46600.000000,46800.000000,41434.769531,8819393
2019-07-22,46800.000000,47300.000000,46600.000000,47200.000000,41788.906250,9009109
2019-07-23,47350.000000,47550.000000,47050.000000,47300.000000,41877.441406,9061381
2019-07-24,47100.000000,47150.000000,46250.000000,46400.000000,41080.628906,8756522
2019-07-25,47150.000000,47200.000000,46600.000000,47200.000000,41788.906250,8408838
2019-07-26,46650.000000,47150.000000,46550.000000,47150.000000,41744.648438,7873886
2019-07-29,46800.000000,47050.000000,46000.000000,46100.000000,40815.011719,6856846
2019-07-30,46300.000000,46850.000000,46300.000000,46550.000000,41213.425781,5551014
2019-07-31,46200.000000,46600.000000,45000.000000,45350.000000,40150.996094,12872916
